District,Geograpical Area (Sq.Kms),Population Density,Male,Female, Total,Percentage Share to Total Population,Rank
Chikkodi,851,419,181619,174525,356144,7.45,6
Athani,1554,240,190310,182265,372575,7.8,5
Raibag,952,426,207142,198347,405489,8.48,2
Gokak,1146,348,200104,198288,398392,8.34,4
Hukkeri,987,405,200490,198780,399270,8.35,3
Belagavi,1032,928,486704,470669,957373,20.03,1
Khanapur,1742,148,130598,127491,258089,5.4,11
Savadatti,1578,224,178755,174174,352929,7.38,7
Bailhongal,760,380,145681,143187,288868,6.04,9
Ramadurg,1225,211,130910,127617,258527,5.41,10
Kitthuru,360,256,46781,45540,92321,1.93,14
Nippani,412,662,138178,134478,272656,5.7,8
Kagavada,437,351,78269,74988,153257,3.21,13
Mudalagi,397,538,107522,106249,213771,4.47,12
Jamakhandi,882,307,132591,131380,263971,13.97,3
Bilagi,781,206,80147,80147,160294,8.48,7
Mudhol,859,287,124999,125194,250193,13.24,4
Badami,1069,227,121871,119544,241415,12.77,5
Bagalkote,935,307,143220,141894,285114,15.09,1
Hungund,733,218,77228,75981,153209,8.11,8
Guledagudda,316,275,44877,44568,89445,4.73,9
Ilkal,626,258,84513,83616,168129,8.9,6
Rabakavi Banahatti,351,732,140665,137317,277982,14.71,2
Bijapur,972,489,237074,229570,466644,21.43,1
Indi,1604,195,154847,144611,299458,13.75,2
Sindagi,1444,196,142115,134121,276236,12.68,3
Basavan Bagewadi,1297,165,86579,84126,170705,7.84,5
Muddebihal,1030,194,90307,89025,179332,8.24,4
Nidagundi,399,231,44111,43027,87138,4,11
Babaleshwara,961,155,65162,63747,128909,5.92,7
Chadachana,611,176,62816,58895,121711,5.59,9
Talikote,464,182,66527,65625,132152,6.7,6
Tikota,715,146,64943,60579,125522,5.76,8
Kolhara,277,185,41514,40074,81588,3.75,12
Devara Hipparagi,724,150,55027,52909,107936,4.95,10
Aland,1574,198,161892,152409,314301,12.25,2
Afzalpur,1307,168,113057,107282,220339,8.59,4
Gulbarga,1250,589,375771,361616,737387,28.73,1
Chincholi,1267,168,105639,104204,209843,8.18,6
Sedam,1021,213,108598,109974,218572,8.5,7
Chittapur,726,226,121832,121155,242987,9.47,3
Jevargi,1028,166,90625,88475,179100,6.98,7
Kalagi,1063,153,54710,55324,110034,4.29,10
Kamalapura,700,183,65445,62738,128183,4.99,8
Yadrami,798,155,60270,57533,117803,4.59,9
Shahbadha,220,411,43916,43861,87777,3.42,11
Basavakalyan,992,309,156666,149953,306619,17.32,1
Bhalki,1119,248,141603,135747,277350,16.28,5
Aurad,758,228,88378,84669,173047,10.16,2
Bidar,908,507,241095,228846,469941,27.59,1
Humnabad,642,314,102835,98458,201293,11.82,2
Chittaguppa,340,385,66600,64469,131069,7.7,2
Kamalanagara,475,222,53931,51422,105353,6.19,2
Hulasuru,214,180,19557,19071,38628,2.95,1
Lingasugur,1284,207,152049,149590,301639,15.64,3
Devdurga,1504,186,140165,140441,280606,14.55,4
Raichur,1546,318,249556,249081,498637,25.85,1
Manvi,1020,231,89034,90356,179390,9.3,6
Sindhanur,1273,265,166909,167730,334639,17.35,2
Maski,937,165,96188,95647,191835,9.94,5
Sirivara,878,191,70610,71456,142066,7.37,7
Yelburga,874,179,79331,77485,156816,11.26,5
Kushtagi,1355,210,144227,140565,284792,20.46,3
Gangavathi,436,553,120079,120864,240943,17.33,3
Koppal,1364,277,190907,186874,377781,27.18,2
Karatagi,392,322,62907,63490,126397,9.09,4
Kukanuru,657,168,55834,54792,110626,7.95,6
Kanakagiri,492,188,46641,45924,92565,6.66,7
Naragund,436,231,51276,49347,100623,9.45,6
Rona,977,156,76478,76153,152631,14.34,2
Gadag,1092,336,184572,182686,367258,34.5,1
Shirahatti,514,177,46286,44616,90902,8.54,7
Mundargi,891,148,66856,65041,131897,12.39,3
Gajendragad,315,354,56088,55404,111492,10.47,4
Laxmeshwar,432,254,55591,54176,109767,10.31,5
Dharwad,963,527,259873,252741,512614,27.75,2
Navalgund,691,167,59402,56515,115917,6.28,6
Hubli,623,226,72980,69827,142807,7.73,5
